COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
جمهورية ليبيريا,"سفارة لبنان لدى جمهورية ليبيريا, منروفيا",السفارة اللبنانية في منروفيا,Embassy of Lebanon- Monrovia- Sinkor 12th  street - Corner Warner,1,السفارة اللبنانية في منروفيا
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,12,السفارة اللبنانية في الكويت - غرفة رقم 12
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",62,LEcole armenienne Sourp Hagop - غرفة رقم 7
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",معهد العائلة المقدسة,"23-25 Alice Street, Harris Park NSW 2150",50,معهد العائلة المقدسة - غرفة رقم 7
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,9,السفارة اللبنانية في أبو ظبي - غرفة رقم 9
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",59,LEcole armenienne Sourp Hagop - غرفة رقم 4
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,45,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 10
مالي,"سفارة لبنان لدى جمهورية ليبيريا, منروفيا",القنصلية اللبنانية الفخرية في مالي,"Lebanese Honorary Consulate- Bamako , Mali , Hippodrome , Rue 253 ,Porte 50",1,القنصلية اللبنانية الفخرية في مالي
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",Pashalian Hall,"221 East 27th street, New York, NY 10016",53,Pashalian Hall - غرفة رقم 2
الكاميرون,"سفارة لبنان لدى الجمهورية الغابونية, ليبرفيل",القنصلية اللبنانية الفخرية في الكاميرون,Lebanese Honorary Consulate- 1- Zone portuaire - Base Navale Douala - Cameroun,1,القنصلية اللبنانية الفخرية في الكاميرون
